"rank","name","step","value"
0,"GPU: Device 0 Memory Utilization %",25,0
0,"GPU: Device 0 Memory Free (GB)",25,16.9428
0,"GPU: Device 0 Memory Used (GB)",25,0.00275251
0,"GPU: Device 0 Clock Memory (MHz)",25,877
0,"cpu: User %",25,3.44534
0,"cpu: Nice %",25,0
0,"cpu: System %",25,0.0227415
0,"cpu: Idle %",25,96.5319
0,"cpu: I/O Wait %",25,0
0,"cpu: IRQ %",25,0
0,"cpu: soft IRQ %",25,0
0,"cpu: Steal %",25,0
0,"cpu: Guest %",25,0
0,"meminfo:MemTotal (MB)",25,630978
0,"meminfo:MemFree (MB)",25,556464
0,"meminfo:MemAvailable (MB)",25,588238
0,"program size (pages)",26,79771
0,"resident set size (pages)",26,2658
0,"resident shared pages",26,814
0,"Page faults (minor)",26,4747
0,"Page faults (major)",26,24
0,"Pages swapped (not maintained)",26,0
0,"GPU: Device 0 Utilization %",26,0
0,"GPU: Device 0 Memory Utilization %",26,0
0,"GPU: Device 0 Memory Free (GB)",26,16.9428
0,"GPU: Device 0 Memory Used (GB)",26,0.00275251
0,"GPU: Device 0 Clock Memory (MHz)",26,877
0,"cpu: User %",26,3.43162
0,"cpu: Nice %",26,0
0,"cpu: System %",26,0.0056815
0,"cpu: Idle %",26,96.5627
0,"cpu: I/O Wait %",26,0
0,"cpu: IRQ %",26,0
0,"cpu: soft IRQ %",26,0
0,"cpu: Steal %",26,0
0,"cpu: Guest %",26,0
0,"meminfo:MemTotal (MB)",26,630978
0,"meminfo:MemFree (MB)",26,556464
0,"meminfo:MemAvailable (MB)",26,588238
1,"Page faults (minor)",0,4683
1,"Page faults (major)",0,24
1,"Pages swapped (not maintained)",0,0
1,"program size (pages)",0,79771
1,"resident set size (pages)",0,2661
1,"resident shared pages",0,817
1,"Page faults (minor)",0,4685
1,"Page faults (major)",0,24
1,"Pages swapped (not maintained)",0,0
1,"GPU: Device 1 Utilization %",0,0
1,"GPU: Device 1 Memory Utilization %",0,0
1,"GPU: Device 1 Memory Total (GB)",0,16.9455
1,"GPU: Device 1 Memory Free (GB)",0,16.9428
1,"GPU: Device 1 Memory Used (GB)",0,0.00275251
1,"GPU: Device 1 Clock Memory (MHz)",0,877
1,"cpu: User %",0,3.35619
1,"cpu: Nice %",0,0
1,"cpu: System %",0,0.360881
1,"cpu: Idle %",0,96.2829
1,"cpu: I/O Wait %",0,0
1,"cpu: IRQ %",0,0
1,"cpu: soft IRQ %",0,0
1,"cpu: Steal %",0,0
1,"cpu: Guest %",0,0
1,"meminfo:MemTotal (MB)",0,630978
1,"meminfo:MemFree (MB)",0,556483
1,"meminfo:MemAvailable (MB)",0,588255
1,"program size (pages)",1,79771
1,"resident set size (pages)",1,2661
1,"resident shared pages",1,817
1,"Page faults (minor)",1,4747
1,"Page faults (major)",1,24
1,"Pages swapped (not maintained)",1,0
1,"GPU: Device 1 Utilization %",1,0
1,"GPU: Device 1 Memory Utilization %",1,0
1,"GPU: Device 1 Memory Free (GB)",1,16.9428
1,"GPU: Device 1 Memory Used (GB)",1,0.00275251
1,"GPU: Device 1 Clock Memory (MHz)",1,877
1,"cpu: User %",1,3.43712
1,"cpu: Nice %",1,0
1,"cpu: System %",1,0.0507324
1,"cpu: Idle %",1,96.5121
1,"cpu: I/O Wait %",1,0
1,"cpu: IRQ %",1,0
1,"cpu: soft IRQ %",1,0
1,"cpu: Steal %",1,0
1,"cpu: Guest %",1,0
1,"meminfo:MemTotal (MB)",1,630978
1,"meminfo:MemFree (MB)",1,556468
1,"meminfo:MemAvailable (MB)",1,588241
1,"program size (pages)",2,79771
1,"resident set size (pages)",2,2661
1,"resident shared pages",2,817
1,"Page faults (minor)",2,4747
1,"Page faults (major)",2,24
1,"Pages swapped (not maintained)",2,0
1,"GPU: Device 1 Utilization %",2,0
1,"GPU: Device 1 Memory Utilization %",2,0
1,"GPU: Device 1 Memory Free (GB)",2,16.9428
1,"GPU: Device 1 Memory Used (GB)",2,0.00275251
1,"GPU: Device 1 Clock Memory (MHz)",2,877
1,"cpu: User %",2,3.43455
1,"cpu: Nice %",2,0
1,"cpu: System %",2,0.0227454
1,"cpu: Idle %",2,96.5427
1,"cpu: I/O Wait %",2,0
1,"cpu: IRQ %",2,0
1,"cpu: soft IRQ %",2,0
1,"cpu: Steal %",2,0
1,"cpu: Guest %",2,0
1,"meminfo:MemTotal (MB)",2,630978
1,"meminfo:MemFree (MB)",2,556467
1,"meminfo:MemAvailable (MB)",2,588241
1,"program size (pages)",3,79771
